categoria,marca,modelo_2025,modelo_2026,valor_2025,valor_2024,valor_2023
A1,CHEVROLET,ONIX 1.0T PREMIER AT,ONIX 1.0T PREMIER AT,"50,480","45,430","40,380"
A1,CHEVROLET,ONIX 1.0T PRIME AT II,ONIX 1.0T PRIME AT II,"40,420","36,380","32,340"
A1,CHEVROLET,ONIX 1.0T RS MT,ONIX 1.0T RS MT,"46,790","42,110","37,430"
A1,CHEVROLET,ONIX 1.0T RS MT II,ONIX 1.0T RS MT II,"54,860","49,370","43,890"
A1,CHEVROLET,ONIX 1.0T RS MT*,ONIX 1.0T RS MT*,"46,790","42,110","37,430"
A1,CHEVROLET,ONIX HB 1.0T PRIME AT III,ONIX HB 1.0T PRIME AT III,"57,560","51,800","46,050"
A1,CHEVROLET,ONIX HB 1.0T RS MT II,ONIX HB 1.0T RS MT II,"55,540","49,990","44,430"
A1,CHEVROLET,ONIX LT 1.0T MT MVB,ONIX LT 1.0T MT MVB,"42,860","38,570","34,290"
A1,CHEVROLET,ONIX PLUS SEDAN 1.0T PREMIER,ONIX PLUS SEDAN 1.0T PREMIER,"43,250","38,930","34,600"
A1,CHEVROLET,ONIX SEDAN 1.0L LT MT,ONIX SEDAN 1.0L LT MT,"48,770","43,890","39,020"
A1,CHEVROLET,ONIX SEDAN 1.0L LT MT II,ONIX SEDAN 1.0L LT MT II,"37,320","33,590","29,860"
A1,CHEVROLET,ONIX SEDAN 1.0L LTZ II,ONIX SEDAN 1.0L LTZ II,"49,690","44,720","39,750"
A1,CHEVROLET,ONIX SEDAN 1.0L MIDNIGHT MT,ONIX SEDAN 1.0L MIDNIGHT MT,"49,500","44,550","39,600"
A1,CHEVROLET,ONIX SEDAN 1.0T LT MT II ONSTAR,ONIX SEDAN 1.0T LT MT II ONSTAR,"43,180","38,860","34,540"
A1,CHEVROLET,ONIX SEDAN 1.0T PREMIER AT,ONIX SEDAN 1.0T PREMIER AT,"45,470","40,920","36,380"
A1,CHEVROLET,ONIX SEDAN 1.0T PREMIER AT LAUNCH ED,ONIX SEDAN 1.0T PREMIER AT LAUNCH ED,"56,620","50,960","45,300"
A1,CHEVROLET,ONIX SEDAN 1.0T PRIME AT II,ONIX SEDAN 1.0T PRIME AT II,"59,200","53,280","47,360"
A1,CHEVROLET,ONIX SEDAN 1.0T PRIME AT III,ONIX SEDAN 1.0T PRIME AT III,"53,820","48,440","43,060"
A1,CHEVROLET,SPARK,SPARK,"33,620","30,260","26,900"
A1,CHEVROLET,SPARK 0.8,SPARK 0.8,"30,620","27,560","24,500"
A1,CHEVROLET,SPARK 1.0,SPARK 1.0,"32,710","29,440","26,170"
A1,CHEVROLET,SPARK HB,SPARK HB,"31,270","28,140","25,020"
A1,CHEVROLET,SPARK LITE 0.8 MT BASE,SPARK LITE 0.8 MT BASE,"31,970","28,770","25,580"
A1,CHEVROLET,SPARK LITE LS 0.8 MEC.,SPARK LITE LS 0.8 MEC.,"30,620","27,560","24,500"
A1,CHEVROLET,SPARK LITE LS 0.8 MT BASE,SPARK LITE LS 0.8 MT BASE,"31,970","28,770","25,580"
A1,CHEVROLET,SPARK LITE LT 0.8 MEC.,SPARK LITE LT 0.8 MEC.,"30,620","27,560","24,500"
A1,CHEVROLET,SPARK LITE LT 1.0 MEC.,SPARK LITE LT 1.0 MEC.,"34,680","31,210","27,740"
A1,CHEVROLET,OTROS MODELOS,OTROS MODELOS,"46,790","42,110","37,430"
A1,DAEWOO,MATIZ,MATIZ,"29,440","26,500","23,550"
A1,DAEWOO,MATIZ HATCHBACK 800CC.,MATIZ HATCHBACK 800CC.,"29,440","26,500","23,550"
A1,DAEWOO,MATIZ S,MATIZ S,"22,920","20,630","18,340"
A1,DAEWOO,MATIZ SE,MATIZ SE,"26,190","23,570","20,950"
A1,DAEWOO,TICO DX,TICO DX,"29,480","26,530","23,580"
A1,DAEWOO,TICO PM,TICO PM,"26,190","23,570","20,950"
A1,DAEWOO,TICO SL MEC. 5P,TICO SL MEC. 5P,"29,480","26,530","23,580"
A1,DAEWOO,TICO SX MEC. 5P,TICO SX MEC. 5P,"27,800","25,020","22,240"
A1,DAEWOO,TICO SX MEC. 5P AC,TICO SX MEC. 5P AC,"27,800","25,020","22,240"
A1,DAEWOO,OTROS MODELOS,OTROS MODELOS,"27,800","25,020","22,240"
A1,DAIHATSU,CHARADE MEC.,CHARADE MEC.,"38,970","35,070","31,180"
A1,DAIHATSU,CUORE MEC.,CUORE MEC.,"19,290","17,360","15,430"
A1,DAIHATSU,GY200,GY200,"25,860","23,270","20,690"
A1,DAIHATSU,MIRA,MIRA,"32,710","29,440","26,170"
A1,DAIHATSU,MOVE MEC.,MOVE MEC.,"31,110","28,000","24,890"
A1,DAIHATSU,SIRION AUT.,SIRION AUT.,"42,540","38,290","34,030"
A1,DAIHATSU,SIRION MEC.,SIRION MEC.,"44,180","39,760","35,340"
A1,DAIHATSU,STORIA,STORIA,"19,980","17,980","15,980"
A1,DAIHATSU,STORIA CL,STORIA CL,"19,980","17,980","15,980"
A1,DAIHATSU,OTROS MODELOS,OTROS MODELOS,"31,110","28,000","24,890"
A1,FAW,N5,N5,"21,260","19,130","17,010"
A1,FAW,OTROS MODELOS,OTROS MODELOS,"21,260","19,130","17,010"
A1,FIAT,MOBI EASY PLUS 1.0 MT,MOBI EASY PLUS 1.0 MT,"28,240","25,420","22,590"
A1,FIAT,MOBI ESAY 1.0 MT,MOBI ESAY 1.0 MT,"28,380","25,540","22,700"
A1,FIAT,MOBI LIKE 1.0 MT,MOBI LIKE 1.0 MT,"34,650","31,190","27,720"
A1,FIAT,MOBI POP 1.0 MT,MOBI POP 1.0 MT,"45,810","41,230","36,650"
A1,FIAT,MOBI TREKKING 1.0 MT,MOBI TREKKING 1.0 MT,"30,980","27,880","24,780"
A1,FIAT,UNO,UNO,"32,420","29,180","25,940"
A1,FIAT,UNO 45 3P,UNO 45 3P,"37,320","33,590","29,860"
A1,FIAT,UNO 45 4P.,UNO 45 4P.,"24,710","22,240","19,770"
A1,FIAT,UNO 45 5P,UNO 45 5P,"32,420","29,180","25,940"
A1,FIAT,UNO MILLE,UNO MILLE,"39,250","35,330","31,400"
A1,FIAT,UNO STD MEC. 5P,UNO STD MEC. 5P,"26,170","23,550","20,940"
A1,FIAT,OTROS MODELOS,OTROS MODELOS,"32,420","29,180","25,940"
A1,HAFEI,LOBO 1.0,LOBO 1.0,"23,250","20,930","18,600"
A1,HAFEI,LOBO AW,LOBO AW,"26,170","23,550","20,940"
A1,HAFEI,LOBO HATCHBACK 970CC. GASOLINA,LOBO HATCHBACK 970CC. GASOLINA,"27,130","24,420","21,700"
A1,HAFEI,SAIMA,SAIMA,"33,040","29,740","26,430"
A1,HAFEI,OTROS MODELOS,OTROS MODELOS,"26,650","23,990","21,320"
A1,HAIMA,1 MT COMFORT 0.9,1 MT COMFORT 0.9,"29,440","26,500","23,550"
A1,HAIMA,HAIMA1 0.9 MT STANDARD,HAIMA1 0.9 MT STANDARD,"27,800","25,020","22,240"
A1,HAIMA,HAIMA1 1.0 MT DELUXE,HAIMA1 1.0 MT DELUXE,"31,080","27,970","24,860"
A1,HAIMA,OTROS MODELOS,OTROS MODELOS,"29,440","26,500","23,550"
A1,HAVAL,NEW H6,NEW H6,"69,740","62,770","55,790"
A1,HAVAL,OTROS MODELOS,OTROS MODELOS,"69,740","62,770","55,790"
A1,HYUNDAI,ATOS,ATOS,"33,650","30,290","26,920"
A1,HYUNDAI,ATOS GL,ATOS GL,"34,320","30,890","27,460"
A1,HYUNDAI,EON 0.8 GL BASE,EON 0.8 GL BASE,"29,270","26,340","23,420"
A1,HYUNDAI,EON GL,EON GL,"29,270","26,340","23,420"
A1,HYUNDAI,GRAND I10,GRAND I10,"35,710","32,140","28,570"
A1,HYUNDAI,GRAND I10 AI3 1.0 GL MT COMFORT PLUS,GRAND I10 AI3 1.0 GL MT COMFORT PLUS,"46,070","41,460","36,860"
A1,HYUNDAI,GRAND I10 AI3 1.0 GL MT FULL PLUS,GRAND I10 AI3 1.0 GL MT FULL PLUS,"46,250","41,630","37,000"
A1,HYUNDAI,GRAND I10 AI3 1.0 MT GL FL COMFORT,GRAND I10 AI3 1.0 MT GL FL COMFORT,"50,440","45,400","40,350"
A1,HYUNDAI,GRAND I10 AI3 1.0 MT GL FL FULL,GRAND I10 AI3 1.0 MT GL FL FULL,"55,490","49,940","44,390"
A1,HYUNDAI,,GRAND I10 FL AI3 1.0 GL MT SMART,"36,370","32,730","29,100"
A1,HYUNDAI,GRAND I10 GL,GRAND I10 GL,"40,380","36,340","32,300"
A1,HYUNDAI,GRAND I10 GL 1.0 MT,GRAND I10 GL 1.0 MT,"38,360","34,520","30,690"
A1,HYUNDAI,GRAND I10 GL 1.0 MT COMFORT,GRAND I10 GL 1.0 MT COMFORT,"34,670","31,200","27,740"
A1,HYUNDAI,GRAND I10 GL 1.0 MT COMFORT + MDPS E4,GRAND I10 GL 1.0 MT COMFORT + MDPS E4,"36,640","32,980","29,310"
A1,HYUNDAI,GRAND I10 GL 1.0 MT COMFORT E4,GRAND I10 GL 1.0 MT COMFORT E4,"35,330","31,800","28,260"
A1,HYUNDAI,GRAND I10 GL 1.0 MT FULL,GRAND I10 GL 1.0 MT FULL,"44,050","39,650","35,240"
A1,HYUNDAI,GRAND I10 GL 1.0 MT PLUS,GRAND I10 GL 1.0 MT PLUS,"41,390","37,250","33,110"
A1,HYUNDAI,GRAND I10 GLS,GRAND I10 GLS,"40,350","36,320","32,280"
A1,HYUNDAI,GRAND I10 GLS 1.0 AT INT GRIS,GRAND I10 GLS 1.0 AT INT GRIS,"42,540","38,290","34,030"
A1,HYUNDAI,GRAND I10 GLS 1.0 MT FULL,GRAND I10 GLS 1.0 MT FULL,"40,240","36,220","32,190"
A1,HYUNDAI,GRAND I10 GLS 1.0 MT FULL + MDPS E4,GRAND I10 GLS 1.0 MT FULL + MDPS E4,"42,860","38,570","34,290"
A1,HYUNDAI,GRAND I10 HB AI3 1.0 GL MT COMFORT PLUS,GRAND I10 HB AI3 1.0 GL MT COMFORT PLUS,"40,380","36,340","32,300"
A1,HYUNDAI,GRAND I10 HB AI3 1.0 GL MT FULL PLUS,GRAND I10 HB AI3 1.0 GL MT FULL PLUS,"46,780","42,100","37,420"
A1,HYUNDAI,GRAND I10 HB FL AI3 1.0 GL MT COMFORT,GRAND I10 HB FL AI3 1.0 GL MT COMFORT,"40,580","36,520","32,460"
A1,HYUNDAI,GRAND I10 HB FL AI3 1.0 GL MT COMFORT GLP,GRAND I10 HB FL AI3 1.0 GL MT COMFORT GLP,"41,390","37,250","33,110"
A1,HYUNDAI,GRAND I10 HB FL AI3 1.0 GL MT FULL,GRAND I10 HB FL AI3 1.0 GL MT FULL,"42,660","38,390","34,130"
A1,HYUNDAI,GRAND I10 HB FL AI3 1.0 GL MT FULL GLP,GRAND I10 HB FL AI3 1.0 GL MT FULL GLP,"48,190","43,370","38,550"
A1,HYUNDAI,I20 HB BI3 1.0T DCT,I20 HB BI3 1.0T DCT,"75,750","68,180","60,600"
A1,HYUNDAI,i20 HB Bi3 1.0T DCT SPORT,i20 HB Bi3 1.0T DCT SPORT,"74,400","66,960","59,520"
A1,HYUNDAI,IONIQ,IONIQ,"93,150","83,840","74,520"
A1,HYUNDAI,IONIQ GLS,IONIQ GLS,"124,990","112,490","99,990"
A1,HYUNDAI,OTROS MODELOS,OTROS MODELOS,"41,390","37,250","33,110"
A1,JAC,AO BASIC MT 1.0,AO BASIC MT 1.0,"26,810","24,130","21,450"
A1,JAC,AO COMFORT,AO COMFORT,"28,450","25,610","22,760"
A1,JAC,AO LUXURY MT 1.0,AO LUXURY MT 1.0,"31,730","28,560","25,380"
A1,JAC,AO STANDARD MT 1.0,AO STANDARD MT 1.0,"27,800","25,020","22,240"
A1,JAC,J2 BASICO,J2 BASICO,"26,170","23,550","20,940"
A1,JAC,J2 COMFORT,J2 COMFORT,"26,170","23,550","20,940"
A1,JAC,J2 STANDARD,J2 STANDARD,"26,170","23,550","20,940"
A1,JAC,OTROS MODELOS,OTROS MODELOS,"26,810","24,130","21,450"
A1,KIA,PICANTO,PICANTO,"36,980","33,280","29,580"
A1,KIA,PICANTO 1.0 GAS,PICANTO 1.0 GAS,"34,020","30,620","27,220"
A1,KIA,PICANTO 1.0 MT,PICANTO 1.0 MT,"33,680","30,310","26,940"
A1,KIA,PICANTO 1.0 MT LX ONE,PICANTO 1.0 MT LX ONE,"40,050","36,050","32,040"
A1,KIA,PICANTO JA 1.0 MT - LX,PICANTO JA 1.0 MT - LX,"42,030","37,830","33,620"
A1,KIA,PICANTO JA 1.0 MT - LX + MDPS,PICANTO JA 1.0 MT - LX + MDPS,"36,170","32,550","28,940"
A1,KIA,PICANTO JA 1.0 MT - LX PLUS,PICANTO JA 1.0 MT - LX PLUS,"37,010","33,310","29,610"
A1,KIA,PICANTO LX,PICANTO LX,"37,420","33,680","29,940"
A1,KIA,PICANTO LX 1.0 MT,PICANTO LX 1.0 MT,"35,330","31,800","28,260"
A1,KIA,PICANTO LX 1.0 MT STD+DH+AC,PICANTO LX 1.0 MT STD+DH+AC,"34,680","31,210","27,740"
A1,KIA,PICANTO LX PLUS 1.0 MT,PICANTO LX PLUS 1.0 MT,"37,010","33,310","29,610"
A1,KIA,PICANTO LX STD 1.0 MT,PICANTO LX STD 1.0 MT,"34,020","30,620","27,220"
A1,KIA,PICANTO LX+ MDPS 1.0 MT,PICANTO LX+ MDPS 1.0 MT,"31,320","28,190","25,060"
A1,KIA,SOLUTO,SOLUTO,"41,610","37,450","33,290"
A1,KIA,OTROS MODELOS,OTROS MODELOS,"36,580","32,920","29,260"
A1,MINI,,HATCH 3DR COOPER SE,"131,320","118,190","105,060"
A1,MINI,,OTROS MODELOS,"131,320","118,190","105,060"
A1,MITSUBISHI,EK WAGON,EK WAGON,"34,640","31,180","27,710"
A1,MITSUBISHI,OTROS MODELOS,OTROS MODELOS,"34,640","31,180","27,710"
A1,NISSAN,AD VAN,AD VAN,"31,430","28,290","25,140"
A1,NISSAN,MARCH,MARCH,"34,440","31,000","27,550"
A1,NISSAN,MARCH AT ADVANCE,MARCH AT ADVANCE,"46,460","41,810","37,170"
A1,NISSAN,OTROS MODELOS,OTROS MODELOS,"34,440","31,000","27,550"
A1,OTRAS MARCAS,OTROS MODELOS,OTROS MODELOS,"34,680","31,210","27,740"
A1,PORSCHE,TAYCAN 4S,TAYCAN 4S,"462,730","416,460","370,180"
A1,PORSCHE,TAYCAN GTS,TAYCAN GTS,"625,940","563,350","500,750"
A1,PORSCHE,TAYCAN TURBO S,TAYCAN TURBO S,"551,900","496,710","441,520"
A1,PORSCHE,OTROS MODELOS,OTROS MODELOS,"551,900","496,710","441,520"
A1,RENAULT,KWID,KWID,"35,310","31,780","28,250"
A1,RENAULT,KWID INTENS 1.0 MT 4X2,KWID INTENS 1.0 MT 4X2,"34,990","31,490","27,990"
A1,RENAULT,KWID LIFE 1.0 MT,KWID LIFE 1.0 MT,"37,010","33,310","29,610"
A1,RENAULT,KWID LIFE 1.0 MT GLPT,KWID LIFE 1.0 MT GLPT,"31,940","28,750","25,550"
A1,RENAULT,KWID OUTSIDER 1.0 MT,KWID OUTSIDER 1.0 MT,"40,350","36,320","32,280"
A1,RENAULT,KWID OUTSIDER 1.0 MT GLPT,KWID OUTSIDER 1.0 MT GLPT,"42,030","37,830","33,620"
A1,RENAULT,KWID ZEN 1.0 MT,KWID ZEN 1.0 MT,"31,970","28,770","25,580"
A1,RENAULT,KWID ZEN 1.0 MT GLPT,KWID ZEN 1.0 MT GLPT,"36,980","33,280","29,580"
A1,RENAULT,NEW KWID INTENS 1.0 MT,NEW KWID INTENS 1.0 MT,"43,710","39,340","34,970"
A1,RENAULT,NEW KWID INTENS 1.0 MT GLPT,NEW KWID INTENS 1.0 MT GLPT,"43,040","38,740","34,430"
A1,RENAULT,NEW KWID OUTSIDER 1.0 MT,NEW KWID OUTSIDER 1.0 MT,"47,080","42,370","37,660"
A1,RENAULT,NEW KWID OUTSIDER 1.0 MT GLPT,NEW KWID OUTSIDER 1.0 MT GLPT,"50,110","45,100","40,090"
A1,RENAULT,NEW KWID ZEN 1.0 MT,NEW KWID ZEN 1.0 MT,"29,580","26,620","23,660"
A1,RENAULT,NEW KWID ZEN 1.0 MT GLPT,NEW KWID ZEN 1.0 MT GLPT,"43,420","39,080","34,740"
A1,RENAULT,OTROS MODELOS,OTROS MODELOS,"38,680","34,810","30,940"
A1,SMART,FORTWO,FORTWO,"54,680","49,210","43,740"
A1,SMART,FORTWO CABRIDE COUPE,FORTWO CABRIDE COUPE,"54,680","49,210","43,740"
A1,SMART,FORTWO PURE COUPE 700CC AT,FORTWO PURE COUPE 700CC AT,"54,680","49,210","43,740"
A1,SMART,OTROS MODELOS,OTROS MODELOS,"54,680","49,210","43,740"
A1,SUBARU,PLEO,PLEO,"20,900","18,810","16,720"
A1,SUBARU,OTROS MODELOS,OTROS MODELOS,"20,900","18,810","16,720"
A1,SUZUKI,ALL NEW CELERIO 4X2 1.0 AMT GL GLPT,ALL NEW CELERIO 4X2 1.0 AMT GL GLPT,"42,740","38,470","34,190"
A1,SUZUKI,ALL NEW CELERIO GA 1.0 MT 4X2,ALL NEW CELERIO GA 1.0 MT 4X2,"35,270","31,740","28,220"
A1,SUZUKI,ALL NEW CELERIO GL 1.0 AMT 4X2,ALL NEW CELERIO GL 1.0 AMT 4X2,"40,740","36,670","32,590"
A1,SUZUKI,ALL NEW CELERIO GL 1.0 MT 4X2,ALL NEW CELERIO GL 1.0 MT 4X2,"37,570","33,810","30,060"
A1,SUZUKI,ALTO,ALTO,"27,950","25,160","22,360"
A1,SUZUKI,ALTO 0.8,ALTO 0.8,"25,830","23,250","20,660"
A1,SUZUKI,ALTO 800 DX,ALTO 800 DX,"25,040","22,540","20,030"
A1,SUZUKI,ALTO 800 MEC.,ALTO 800 MEC.,"24,860","22,370","19,890"
A1,SUZUKI,ALTO GL,ALTO GL,"27,800","25,020","22,240"
A1,SUZUKI,ALTO GL 0.8,ALTO GL 0.8,"27,130","24,420","21,700"
A1,SUZUKI,ALTO GL GAS,ALTO GL GAS,"27,800","25,020","22,240"
A1,SUZUKI,ALTO GLX 0.8,ALTO GLX 0.8,"24,560","22,100","19,650"
A1,SUZUKI,ALTO K10,ALTO K10,"28,120","25,310","22,500"
A1,SUZUKI,ALTO K10 DELUXE,ALTO K10 DELUXE,"30,420","27,380","24,340"
A1,SUZUKI,ALTO K10 GL MT,ALTO K10 GL MT,"30,210","27,190","24,170"
A1,SUZUKI,ALTO K10 GLX,ALTO K10 GLX,"33,370","30,030","26,700"
A1,SUZUKI,ALTO K10 STANDARD,ALTO K10 STANDARD,"26,810","24,130","21,450"
A1,SUZUKI,ALTO STD 0.8,ALTO STD 0.8,"24,520","22,070","19,620"
A1,SUZUKI,CELERIO,CELERIO,"33,680","30,310","26,940"
A1,SUZUKI,CELERIO 1.0 GA AT AC,CELERIO 1.0 GA AT AC,"42,540","38,290","34,030"
A1,SUZUKI,CELERIO 1.0 GA MT,CELERIO 1.0 GA MT,"28,150","25,340","22,520"
A1,SUZUKI,CELERIO 1.0 GA MT GLPT,CELERIO 1.0 GA MT GLPT,"30,250","27,230","24,200"
A1,SUZUKI,CELERIO 1.0 GL AMT,CELERIO 1.0 GL AMT,"32,750","29,480","26,200"
A1,SUZUKI,CELERIO 1.0 GL MT,CELERIO 1.0 GL MT,"43,750","39,380","35,000"
A1,SUZUKI,CELERIO 1.0 GLX AMT,CELERIO 1.0 GLX AMT,"38,660","34,790","30,930"
A1,SUZUKI,CELERIO 1.0 GLX AMT GLPT,CELERIO 1.0 GLX AMT GLPT,"40,350","36,320","32,280"
A1,SUZUKI,CELERIO 1.0 GLX MT,CELERIO 1.0 GLX MT,"32,710","29,440","26,170"
A1,SUZUKI,CELERIO 1.0 GLX MT AC AW,CELERIO 1.0 GLX MT AC AW,"38,270","34,440","30,620"
A1,SUZUKI,CELERIO 1.0 GLX MT GLPT,CELERIO 1.0 GLX MT GLPT,"34,350","30,920","27,480"
A1,SUZUKI,CELERIO 1.0 GTS AMT SPORT,CELERIO 1.0 GTS AMT SPORT,"40,890","36,800","32,710"
A1,SUZUKI,CELERIO 1.0 GTS MT SPORT,CELERIO 1.0 GTS MT SPORT,"35,980","32,380","28,780"
A1,SUZUKI,CELERIO GA,CELERIO GA,"26,660","23,990","21,330"
A1,SUZUKI,CELERIO GL AMT,CELERIO GL AMT,"32,380","29,140","25,900"
A1,SUZUKI,CELERIO GLS 1.0 AMT SPORT,CELERIO GLS 1.0 AMT SPORT,"37,300","33,570","29,840"
A1,SUZUKI,CELERIO GLX 1.0 MT AMT,CELERIO GLX 1.0 MT AMT,"36,970","33,270","29,580"
A1,SUZUKI,CELERIO GLX AMT SPORT,CELERIO GLX AMT SPORT,"33,730","30,360","26,980"
A1,SUZUKI,CELERIO GLX AUT.,CELERIO GLX AUT.,"42,540","38,290","34,030"
A1,SUZUKI,CELERIO GLX MEC.,CELERIO GLX MEC.,"35,980","32,380","28,780"
A1,SUZUKI,CELERIO GLX MT SPORT,CELERIO GLX MT SPORT,"20,190","18,170","16,150"
A1,SUZUKI,CERVO,CERVO,"18,000","16,200","14,400"
A1,SUZUKI,FRONTE GL,FRONTE GL,"31,300","28,170","25,040"
A1,SUZUKI,LAPIN,LAPIN,"20,630","18,570","16,500"
A1,SUZUKI,MARUTI,MARUTI,"22,890","20,600","18,310"
A1,SUZUKI,MARUTI 800CC,MARUTI 800CC,"21,260","19,130","17,010"
A1,SUZUKI,MARUTI CITY CAR,MARUTI CITY CAR,"22,890","20,600","18,310"
A1,SUZUKI,MARUTI GLX,MARUTI GLX,"22,890","20,600","18,310"
A1,SUZUKI,MARUTI II,MARUTI II,"24,520","22,070","19,620"
A1,SUZUKI,MARUTI TAXI,MARUTI TAXI,"22,890","20,600","18,310"
A1,SUZUKI,NEW ALTO 800 ST,NEW ALTO 800 ST,"30,590","27,530","24,470"
A1,SUZUKI,NEW ALTO 800 ST ABS PS,NEW ALTO 800 ST ABS PS,"27,100","24,390","21,680"
A1,SUZUKI,NEW ALTO 800 ST ABS PS GLPT,NEW ALTO 800 ST ABS PS GLPT,"34,640","31,180","27,710"
A1,SUZUKI,NEW ALTO DX PS,NEW ALTO DX PS,"32,120","28,910","25,700"
A1,SUZUKI,NEW ALTO K10 STD,NEW ALTO K10 STD,"24,520","22,070","19,620"
A1,SUZUKI,NEW ALTO K10 STD GLPT,NEW ALTO K10 STD GLPT,"26,170","23,550","20,940"
A1,SUZUKI,NEW CELERIO 1.0 GA MT,NEW CELERIO 1.0 GA MT,"28,570","25,710","22,860"
