# Detalle de las fichas de DEMOSTRACION: lo que hay DENTRO de cada ficha.
# Construcciones por piso, obras complementarias, y lo propio de cada tipo —actividades
# economicas, bienes comunes con su reparto, grupos de tierra con sus colindantes—.
# Solo se carga contra una municipalidad con municipalidad.es_demostracion = true.
#
# Se carga JUSTO DESPUES de fichas.csv: cada fila nombra su predio por el codigo de
# referencia catastral, y el grupo que nombre un predio inexistente se rechaza entero.
#
# LA UNIDAD DE CARGA ES EL PREDIO, NO LA FILA. Una version de ficha es atomica: todas las
# filas de un mismo codigo predial entran en UNA llamada a ActualizarFichaCatastral, y por
# eso las cinco primeras columnas —tipo, vigencia, origen, documento— tienen que repetirse
# iguales en todas las filas del grupo. Si dos filas del mismo predio dicen fechas
# distintas, el grupo se rechaza: son propiedades de la version, no de la fila, y no hay
# una lectura correcta que elegir.
#
# VERSIONA, NO SOBRESCRIBE. Cada predio de este archivo acaba con DOS versiones de ficha:
# la que inscribio fichas.csv y esta. Es la invariante del catastro —una ficha nunca se
# sobrescribe, se versiona— ejercitada de verdad, y de paso deja historial que mirar.
#
# NINGUNA CIFRA NORMATIVA, y conviene decir por que no la hay: todo lo que entra aqui son
# CARACTERISTICAS del predio —metros construidos, ano, material, estado de conservacion,
# categorias constructivas, hectareas, riego—. Ninguna es un valor unitario ni un arancel.
# Lo que sigue bloqueado por D-02a es la VALORIZACION —multiplicar esas caracteristicas por
# el cuadro de valores unitarios—, no describirlas: la ficha catastral es la descripcion
# del predio, y existe con independencia de cuanto valga.
#
# LAS SIETE COLUMNAS FINALES CAMBIAN DE SIGNIFICADO SEGUN LA SECCION:
#
#   CONSTRUCCION   piso, areaConstruida, anio, material, estadoConservacion,
#                  categorias, porcentajeConstruido
#   INSTALACION    descripcion, cantidad, unidad, anio, estadoConservacion, -, -
#   ACTIVIDAD      conductor, nombreComercial, ciiu, areaOcupada, -, -, -
#   BIEN_COMUN     descripcion, area, material, estadoConservacion, anio, -, -
#   PARTICIPACION  codigoPredialDelParticipe, porcentaje, -, -, -, -, -
#   TIERRA         clasificacion, calidadAgrologica, riego, hectareas, hectareasComunes, -, -
#   COLINDANTE     orientacion, descripcion, -, -, -, -, -
#
# `categorias` son las siete del manual en una sola columna y en este orden: muros, techos,
# pisos, puertas, revestimientos, banios, instalaciones. Letras de la A a la J, y un guion
# donde no se declare ninguna.
#
# NINGUN ANIO ANTERIOR A 1990, y no porque en Catacaos no haya casas mas antiguas.
# `Construccion.anioConstruccion` es un `Ejercicio`, y `Ejercicio` admite de 1990 a 2100
# —el mismo rango que el dominio `ejercicio` de PostgreSQL—, porque es el tipo del
# EJERCICIO TRIBUTARIO reutilizado aqui como «anio de construccion». Una casa de adobe de
# 1979, que es de lo mas corriente en el distrito, hoy NO SE PUEDE FICHAR: la fila se
# rechaza con «Ejercicio fuera de rango». Lo destapo cargar este archivo con anios
# realistas; queda anotado y no se arregla aqui, porque cambiarlo toca el dominio y la
# columna. Mientras tanto los cuatro predios mas antiguos declaran 1990, con su material y
# su estado de conservacion reales.
#
# QUE NO ESTA AQUI, y a proposito: `Jiron Cusco 900` (20010403003001000000000). Es un
# terreno sin construir, asi que su ficha se queda con cero construcciones —que es un caso
# de verdad, no un olvido: la pantalla tiene que saber dibujar un predio sin nada edificado—.
codigoPredial,tipoFicha,vigenciaDesde,origen,documentoOrigen,seccion,c1,c2,c3,c4,c5,c6,c7
20010401005002000000000,UNICA,2026-02-01,DECLARACION_JURADA,DJ-DEMO-0111,CONSTRUCCION,1,90.00,2000,LADRILLO,BUENO,CCDCCDC,100.00
20010402001001000000000,UNICA,2026-02-01,FISCALIZACION,ACTA-DEMO-0112,CONSTRUCCION,1,145.00,1990,LADRILLO,REGULAR,DDEDDED,100.00
20010402002001000000000,UNICA,2026-02-01,FISCALIZACION,ACTA-DEMO-0113,CONSTRUCCION,1,60.00,1990,QUINCHA,MALO,GGHGGHG,100.00
20010402003001010103201,BIENES_COMUNES,2026-02-01,DECLARACION_JURADA,DJ-DEMO-0114,CONSTRUCCION,3,64.20,2019,CONCRETO,MUY_BUENO,AABAABA,100.00
20010402003001010103201,BIENES_COMUNES,2026-02-01,DECLARACION_JURADA,DJ-DEMO-0114,BIEN_COMUN,Escalera y hall de ingreso,48.00,CONCRETO,MUY_BUENO,2019,,
20010402003001010103201,BIENES_COMUNES,2026-02-01,DECLARACION_JURADA,DJ-DEMO-0114,BIEN_COMUN,Azotea comun,120.00,CONCRETO,BUENO,2019,,
20010402003001010103201,BIENES_COMUNES,2026-02-01,DECLARACION_JURADA,DJ-DEMO-0114,PARTICIPACION,20010402003001010103201,50.00,,,,,
20010402003001010103201,BIENES_COMUNES,2026-02-01,DECLARACION_JURADA,DJ-DEMO-0114,PARTICIPACION,20010402003002010104401,50.00,,,,,
20010402003002010104401,BIENES_COMUNES,2026-02-01,DECLARACION_JURADA,DJ-DEMO-0115,CONSTRUCCION,4,64.20,2019,CONCRETO,MUY_BUENO,AABAABA,100.00
20010402003002010104401,BIENES_COMUNES,2026-02-01,DECLARACION_JURADA,DJ-DEMO-0115,BIEN_COMUN,Escalera y hall de ingreso,48.00,CONCRETO,MUY_BUENO,2019,,
20010402003002010104401,BIENES_COMUNES,2026-02-01,DECLARACION_JURADA,DJ-DEMO-0115,PARTICIPACION,20010402003001010103201,50.00,,,,,
20010402003002010104401,BIENES_COMUNES,2026-02-01,DECLARACION_JURADA,DJ-DEMO-0115,PARTICIPACION,20010402003002010104401,50.00,,,,,
20010402004001000000000,ECONOMICA,2026-02-01,DECLARACION_JURADA,DJ-DEMO-0116,CONSTRUCCION,1,380.00,2014,CONCRETO,BUENO,BBCBBCB,100.00
20010402004001000000000,ECONOMICA,2026-02-01,DECLARACION_JURADA,DJ-DEMO-0116,INSTALACION,Patio pavimentado,320.00,M2,2014,BUENO,,
20010402004001000000000,ECONOMICA,2026-02-01,DECLARACION_JURADA,DJ-DEMO-0116,ACTIVIDAD,DEMO Querevalu Eche Segundo,Almacen Querevalu,5210,380.00,,,
20010402004002000000000,UNICA,2026-02-01,FISCALIZACION,ACTA-DEMO-0117,CONSTRUCCION,1,102.00,1992,LADRILLO,REGULAR,DDEDDED,100.00
20010403001001000000000,ECONOMICA,2026-02-01,DECLARACION_JURADA,DJ-DEMO-0118,CONSTRUCCION,1,220.00,2011,CONCRETO,BUENO,BBCBBCB,100.00
20010403001001000000000,ECONOMICA,2026-02-01,DECLARACION_JURADA,DJ-DEMO-0118,INSTALACION,Patio de maniobras,235.00,M2,2011,REGULAR,,
20010403001001000000000,ECONOMICA,2026-02-01,DECLARACION_JURADA,DJ-DEMO-0118,ACTIVIDAD,DEMO Transportes La Legua E.I.R.L.,Patio La Legua,4923,455.00,,,
20010403002001000000000,UNICA,2026-02-01,DECLARACION_JURADA,DJ-DEMO-0119,CONSTRUCCION,1,130.00,2003,LADRILLO,BUENO,CCDCCDC,100.00
20010404001001000000000,RURAL,2026-02-01,MIGRACION,MIG-DEMO-0120,TIERRA,CULTIVO_EN_LIMPIO,A1,BAJO_RIEGO,1.0500,,,
20010404001001000000000,RURAL,2026-02-01,MIGRACION,MIG-DEMO-0120,TIERRA,PASTOS,P2,SECANO,0.2000,,,
20010404001001000000000,RURAL,2026-02-01,MIGRACION,MIG-DEMO-0120,COLINDANTE,NORTE,Predio de DEMO Sucesion Panta,,,,,
20010404001001000000000,RURAL,2026-02-01,MIGRACION,MIG-DEMO-0120,COLINDANTE,SUR,Canal de regadio La Legua,,,,,
20010404001001000000000,RURAL,2026-02-01,MIGRACION,MIG-DEMO-0120,COLINDANTE,ESTE,Carretera Catacaos - La Legua,,,,,
20010404001001000000000,RURAL,2026-02-01,MIGRACION,MIG-DEMO-0120,COLINDANTE,OESTE,Fundo vecino sin identificar,,,,,
20010404002001000000000,RURAL,2026-02-01,MIGRACION,MIG-DEMO-0121,TIERRA,CULTIVO_EN_LIMPIO,A2,BAJO_RIEGO,0.8300,,,
20010404002001000000000,RURAL,2026-02-01,MIGRACION,MIG-DEMO-0121,COLINDANTE,NORTE,Canal de regadio La Legua,,,,,
20010404002001000000000,RURAL,2026-02-01,MIGRACION,MIG-DEMO-0121,COLINDANTE,SUR,Fundo Simbila Chico,,,,,
20010404003001000000000,RURAL,2026-02-01,MIGRACION,MIG-DEMO-0122,TIERRA,CULTIVO_PERMANENTE,B1,BAJO_RIEGO,1.9400,0.1500,,
20010404003001000000000,RURAL,2026-02-01,MIGRACION,MIG-DEMO-0122,TIERRA,ERIAZO,,SECANO,0.2000,,,
20010404003001000000000,RURAL,2026-02-01,MIGRACION,MIG-DEMO-0122,COLINDANTE,ESTE,Carretera Catacaos - La Legua,,,,,
