tabla,material,estado_conservacion,antiguedad_hasta,porcentaje
01,Ladrillo,Bueno,35,26
01,Ladrillo,Bueno,40,29
01,Ladrillo,Bueno,45,32
01,Ladrillo,Bueno,50,35
01,Ladrillo,Bueno,,38
01,Ladrillo,Regular,5,20
01,Ladrillo,Regular,10,23
01,Ladrillo,Regular,15,26
01,Ladrillo,Regular,20,29
01,Ladrillo,Regular,25,32
01,Ladrillo,Regular,30,35
01,Ladrillo,Regular,35,38
01,Ladrillo,Regular,40,41
01,Ladrillo,Regular,45,44
01,Ladrillo,Regular,50,47
01,Ladrillo,Regular,,50
01,Ladrillo,Malo,5,60
01,Ladrillo,Malo,10,63
01,Ladrillo,Malo,15,66
01,Ladrillo,Malo,20,69
01,Ladrillo,Malo,25,72
01,Ladrillo,Malo,30,75
01,Ladrillo,Malo,35,78
01,Ladrillo,Malo,40,81
01,Ladrillo,Malo,45,84
01,Ladrillo,Malo,50,87
01,Ladrillo,Malo,,90
01,Liviano/Adobe,Muy Bueno,5,5
01,Liviano/Adobe,Muy Bueno,10,10
01,Liviano/Adobe,Muy Bueno,15,15
01,Liviano/Adobe,Muy Bueno,20,20
01,Liviano/Adobe,Muy Bueno,25,25
01,Liviano/Adobe,Muy Bueno,30,30
01,Liviano/Adobe,Muy Bueno,35,35
01,Liviano/Adobe,Muy Bueno,40,40
01,Liviano/Adobe,Muy Bueno,45,45
01,Liviano/Adobe,Muy Bueno,50,50
01,Liviano/Adobe,Muy Bueno,,55
01,Liviano/Adobe,Bueno,5,15
01,Liviano/Adobe,Bueno,10,20
01,Liviano/Adobe,Bueno,15,25
01,Liviano/Adobe,Bueno,20,30
01,Liviano/Adobe,Bueno,25,35
01,Liviano/Adobe,Bueno,30,40
01,Liviano/Adobe,Bueno,35,45
01,Liviano/Adobe,Bueno,40,50
01,Liviano/Adobe,Bueno,45,55
01,Liviano/Adobe,Bueno,50,60
01,Liviano/Adobe,Bueno,,65
01,Liviano/Adobe,Regular,5,30
01,Liviano/Adobe,Regular,10,35
01,Liviano/Adobe,Regular,15,40
01,Liviano/Adobe,Regular,20,45
01,Liviano/Adobe,Regular,25,50
01,Liviano/Adobe,Regular,30,55
01,Liviano/Adobe,Regular,35,60
01,Liviano/Adobe,Regular,40,65
01,Liviano/Adobe,Regular,45,70
01,Liviano/Adobe,Regular,50,75
01,Liviano/Adobe,Regular,,80
01,Liviano/Adobe,Malo,5,65
01,Liviano/Adobe,Malo,10,70
01,Liviano/Adobe,Malo,15,75
01,Liviano/Adobe,Malo,20,80
01,Liviano/Adobe,Malo,25,85
01,Liviano/Adobe,Malo,30,90
02,Concreto,Muy Bueno,5,0
02,Concreto,Muy Bueno,10,2
02,Concreto,Muy Bueno,15,5
02,Concreto,Muy Bueno,20,8
02,Concreto,Muy Bueno,25,11
02,Concreto,Muy Bueno,30,14
02,Concreto,Muy Bueno,35,17
02,Concreto,Muy Bueno,40,20
02,Concreto,Muy Bueno,45,23
02,Concreto,Muy Bueno,50,26
02,Concreto,Muy Bueno,,29
02,Concreto,Bueno,5,5
02,Concreto,Bueno,10,7
02,Concreto,Bueno,15,10
02,Concreto,Bueno,20,13
02,Concreto,Bueno,25,16
02,Concreto,Bueno,30,19
02,Concreto,Bueno,35,22
02,Concreto,Bueno,40,25
02,Concreto,Bueno,45,28
02,Concreto,Bueno,50,31
02,Concreto,Bueno,,34
02,Concreto,Regular,5,10
02,Concreto,Regular,10,12
02,Concreto,Regular,15,15
02,Concreto,Regular,20,18
02,Concreto,Regular,25,21
02,Concreto,Regular,30,24
02,Concreto,Regular,35,27
02,Concreto,Regular,40,30
02,Concreto,Regular,45,33
02,Concreto,Regular,50,36
02,Concreto,Regular,,39
02,Concreto,Malo,5,55
02,Concreto,Malo,10,57
02,Concreto,Malo,15,60
02,Concreto,Malo,20,63
02,Concreto,Malo,25,66
02,Concreto,Malo,30,69
02,Concreto,Malo,35,72
02,Concreto,Malo,40,75
02,Concreto,Malo,45,78
02,Concreto,Malo,50,81
02,Concreto,Malo,,84
02,Ladrillo,Muy Bueno,5,0
02,Ladrillo,Muy Bueno,10,4
02,Ladrillo,Muy Bueno,15,8
02,Ladrillo,Muy Bueno,20,12
02,Ladrillo,Muy Bueno,25,16
02,Ladrillo,Muy Bueno,30,20
02,Ladrillo,Muy Bueno,35,24
02,Ladrillo,Muy Bueno,40,28
02,Ladrillo,Muy Bueno,45,32
02,Ladrillo,Muy Bueno,50,36
02,Ladrillo,Muy Bueno,,40
02,Ladrillo,Bueno,5,8
02,Ladrillo,Bueno,10,12
02,Ladrillo,Bueno,15,16
02,Ladrillo,Bueno,20,20
02,Ladrillo,Bueno,25,24
02,Ladrillo,Bueno,30,28
02,Ladrillo,Bueno,35,32
02,Ladrillo,Bueno,40,36
02,Ladrillo,Bueno,45,40
02,Ladrillo,Bueno,50,44
02,Ladrillo,Bueno,,48
02,Ladrillo,Regular,5,20
02,Ladrillo,Regular,10,24
02,Ladrillo,Regular,15,28
02,Ladrillo,Regular,20,32
02,Ladrillo,Regular,25,36
02,Ladrillo,Regular,30,40
02,Ladrillo,Regular,35,44
02,Ladrillo,Regular,40,48
02,Ladrillo,Regular,45,52
02,Ladrillo,Regular,50,56
02,Ladrillo,Regular,,60
02,Ladrillo,Malo,5,60
02,Ladrillo,Malo,10,64
02,Ladrillo,Malo,15,68
02,Ladrillo,Malo,20,72
02,Ladrillo,Malo,25,76
02,Ladrillo,Malo,30,80
02,Ladrillo,Malo,35,84
02,Ladrillo,Malo,40,88
02,Liviano/Adobe,Muy Bueno,5,7
02,Liviano/Adobe,Muy Bueno,10,12
02,Liviano/Adobe,Muy Bueno,15,17
02,Liviano/Adobe,Muy Bueno,20,22
02,Liviano/Adobe,Muy Bueno,25,27
02,Liviano/Adobe,Muy Bueno,30,32
02,Liviano/Adobe,Muy Bueno,35,37
02,Liviano/Adobe,Muy Bueno,40,42
02,Liviano/Adobe,Muy Bueno,45,47
02,Liviano/Adobe,Muy Bueno,50,52
02,Liviano/Adobe,Muy Bueno,,57
02,Liviano/Adobe,Bueno,5,17
02,Liviano/Adobe,Bueno,10,22
02,Liviano/Adobe,Bueno,15,27
02,Liviano/Adobe,Bueno,20,32
02,Liviano/Adobe,Bueno,25,37
02,Liviano/Adobe,Bueno,30,42
02,Liviano/Adobe,Bueno,35,47
02,Liviano/Adobe,Bueno,40,52
02,Liviano/Adobe,Bueno,45,57
02,Liviano/Adobe,Bueno,50,62
02,Liviano/Adobe,Bueno,,67
02,Liviano/Adobe,Regular,5,32
02,Liviano/Adobe,Regular,10,37
02,Liviano/Adobe,Regular,15,42
02,Liviano/Adobe,Regular,20,47
02,Liviano/Adobe,Regular,25,52
02,Liviano/Adobe,Regular,30,57
02,Liviano/Adobe,Regular,35,62
02,Liviano/Adobe,Regular,40,67
02,Liviano/Adobe,Regular,45,72
02,Liviano/Adobe,Regular,50,77
02,Liviano/Adobe,Regular,,82
02,Liviano/Adobe,Malo,5,67
02,Liviano/Adobe,Malo,10,72
02,Liviano/Adobe,Malo,15,77
02,Liviano/Adobe,Malo,20,82
02,Liviano/Adobe,Malo,25,87
03,Concreto,Muy Bueno,5,0
03,Concreto,Muy Bueno,10,3
03,Concreto,Muy Bueno,15,6
03,Concreto,Muy Bueno,20,9
03,Concreto,Muy Bueno,25,12
03,Concreto,Muy Bueno,30,15
03,Concreto,Muy Bueno,35,18
03,Concreto,Muy Bueno,40,21
03,Concreto,Muy Bueno,45,24
03,Concreto,Muy Bueno,50,27
03,Concreto,Muy Bueno,,30
03,Concreto,Bueno,5,5
03,Concreto,Bueno,10,8
03,Concreto,Bueno,15,11
03,Concreto,Bueno,20,14
03,Concreto,Bueno,25,17
03,Concreto,Bueno,30,20
03,Concreto,Bueno,35,23
03,Concreto,Bueno,40,26
03,Concreto,Bueno,45,29
03,Concreto,Bueno,50,32
03,Concreto,Bueno,,35
03,Concreto,Regular,5,10
03,Concreto,Regular,10,13
03,Concreto,Regular,15,16
03,Concreto,Regular,20,19
03,Concreto,Regular,25,22
03,Concreto,Regular,30,25
03,Concreto,Regular,35,28
03,Concreto,Regular,40,31
03,Concreto,Regular,45,34
03,Concreto,Regular,50,37
03,Concreto,Regular,,40
03,Concreto,Malo,5,55
03,Concreto,Malo,10,58
03,Concreto,Malo,15,61
03,Concreto,Malo,20,64
03,Concreto,Malo,25,67
03,Concreto,Malo,30,70
03,Concreto,Malo,35,73
03,Concreto,Malo,40,76
03,Concreto,Malo,45,79
03,Concreto,Malo,50,82
03,Concreto,Malo,,85
03,Ladrillo,Muy Bueno,5,0
03,Ladrillo,Muy Bueno,10,5
03,Ladrillo,Muy Bueno,15,9
03,Ladrillo,Muy Bueno,20,13
03,Ladrillo,Muy Bueno,25,17
03,Ladrillo,Muy Bueno,30,21
03,Ladrillo,Muy Bueno,35,25
03,Ladrillo,Muy Bueno,40,29
03,Ladrillo,Muy Bueno,45,33
03,Ladrillo,Muy Bueno,50,37
03,Ladrillo,Muy Bueno,,41
03,Ladrillo,Bueno,5,8
03,Ladrillo,Bueno,10,13
03,Ladrillo,Bueno,15,17
03,Ladrillo,Bueno,20,21
03,Ladrillo,Bueno,25,25
03,Ladrillo,Bueno,30,29
03,Ladrillo,Bueno,35,33
03,Ladrillo,Bueno,40,37
03,Ladrillo,Bueno,45,41
03,Ladrillo,Bueno,50,45
03,Ladrillo,Bueno,,49
03,Ladrillo,Regular,5,20
03,Ladrillo,Regular,10,25
03,Ladrillo,Regular,15,29
03,Ladrillo,Regular,20,33
03,Ladrillo,Regular,25,37
03,Ladrillo,Regular,30,41
03,Ladrillo,Regular,35,45
03,Ladrillo,Regular,40,49
03,Ladrillo,Regular,45,53
03,Ladrillo,Regular,50,57
03,Ladrillo,Regular,,61
03,Ladrillo,Malo,5,60
03,Ladrillo,Malo,10,65
03,Ladrillo,Malo,15,69
03,Ladrillo,Malo,20,73
03,Ladrillo,Malo,25,77
03,Ladrillo,Malo,30,81
03,Ladrillo,Malo,35,85
03,Ladrillo,Malo,40,89
03,Liviano/Adobe,Muy Bueno,5,9
03,Liviano/Adobe,Muy Bueno,10,14
03,Liviano/Adobe,Muy Bueno,15,19
03,Liviano/Adobe,Muy Bueno,20,24
03,Liviano/Adobe,Muy Bueno,25,29
03,Liviano/Adobe,Muy Bueno,30,34
03,Liviano/Adobe,Muy Bueno,35,39
03,Liviano/Adobe,Muy Bueno,40,44
03,Liviano/Adobe,Muy Bueno,45,49
03,Liviano/Adobe,Muy Bueno,50,54
03,Liviano/Adobe,Muy Bueno,,59
03,Liviano/Adobe,Bueno,5,19
03,Liviano/Adobe,Bueno,10,24
03,Liviano/Adobe,Bueno,15,29
03,Liviano/Adobe,Bueno,20,34
03,Liviano/Adobe,Bueno,25,39
03,Liviano/Adobe,Bueno,30,44
03,Liviano/Adobe,Bueno,35,49
03,Liviano/Adobe,Bueno,40,54
03,Liviano/Adobe,Bueno,45,59
03,Liviano/Adobe,Bueno,50,64
03,Liviano/Adobe,Bueno,,69
03,Liviano/Adobe,Regular,5,34
03,Liviano/Adobe,Regular,10,39
03,Liviano/Adobe,Regular,15,44
03,Liviano/Adobe,Regular,20,49
03,Liviano/Adobe,Regular,25,54
03,Liviano/Adobe,Regular,30,59
03,Liviano/Adobe,Regular,35,64
03,Liviano/Adobe,Regular,40,69
03,Liviano/Adobe,Regular,45,74
03,Liviano/Adobe,Regular,50,79
03,Liviano/Adobe,Regular,,84
03,Liviano/Adobe,Malo,5,69
03,Liviano/Adobe,Malo,10,74
03,Liviano/Adobe,Malo,15,79
03,Liviano/Adobe,Malo,20,84
03,Liviano/Adobe,Malo,25,89
04,Concreto,Muy Bueno,5,0
04,Concreto,Muy Bueno,10,3
04,Concreto,Muy Bueno,15,6
04,Concreto,Muy Bueno,20,9
04,Concreto,Muy Bueno,25,12
04,Concreto,Muy Bueno,30,15
04,Concreto,Muy Bueno,35,18
04,Concreto,Muy Bueno,40,21
04,Concreto,Muy Bueno,45,24
04,Concreto,Muy Bueno,50,27
04,Concreto,Muy Bueno,,30
04,Concreto,Bueno,5,5
04,Concreto,Bueno,10,10
04,Concreto,Bueno,15,13
04,Concreto,Bueno,20,16
04,Concreto,Bueno,25,18
04,Concreto,Bueno,30,20
04,Concreto,Bueno,35,23
04,Concreto,Bueno,40,26
04,Concreto,Bueno,45,29
04,Concreto,Bueno,50,32
04,Concreto,Bueno,,35
04,Concreto,Regular,5,20
04,Concreto,Regular,10,22
04,Concreto,Regular,15,25
04,Concreto,Regular,20,27
04,Concreto,Regular,25,30
04,Concreto,Regular,30,32
04,Concreto,Regular,35,34
04,Concreto,Regular,40,37
04,Concreto,Regular,45,39
04,Concreto,Regular,50,42
04,Concreto,Regular,,44
04,Concreto,Malo,5,59
04,Concreto,Malo,10,61
04,Concreto,Malo,15,64
04,Concreto,Malo,20,67
04,Concreto,Malo,25,70
04,Concreto,Malo,30,72
04,Concreto,Malo,35,75
04,Concreto,Malo,40,77
04,Concreto,Malo,45,80
04,Ladrillo,Muy Bueno,5,0
04,Ladrillo,Muy Bueno,10,5
04,Ladrillo,Muy Bueno,15,9
04,Ladrillo,Muy Bueno,20,13
04,Ladrillo,Muy Bueno,25,17
04,Ladrillo,Muy Bueno,30,21
04,Ladrillo,Muy Bueno,35,25
04,Ladrillo,Muy Bueno,40,29
04,Ladrillo,Muy Bueno,45,33
04,Ladrillo,Muy Bueno,50,37
04,Ladrillo,Muy Bueno,,41
04,Ladrillo,Bueno,5,12
04,Ladrillo,Bueno,10,16
04,Ladrillo,Bueno,15,20
04,Ladrillo,Bueno,20,24
04,Ladrillo,Bueno,25,28
04,Ladrillo,Bueno,30,32
04,Ladrillo,Bueno,35,36
04,Ladrillo,Bueno,40,40
04,Ladrillo,Bueno,45,44
04,Ladrillo,Bueno,50,48
04,Ladrillo,Bueno,,52
04,Ladrillo,Regular,5,24
04,Ladrillo,Regular,10,28
04,Ladrillo,Regular,15,32
04,Ladrillo,Regular,20,36
04,Ladrillo,Regular,25,40
04,Ladrillo,Regular,30,44
04,Ladrillo,Regular,35,48
04,Ladrillo,Regular,40,52
04,Ladrillo,Regular,45,56
04,Ladrillo,Regular,50,60
04,Ladrillo,Regular,,64
04,Ladrillo,Malo,5,63
04,Ladrillo,Malo,10,68
04,Ladrillo,Malo,15,72
04,Ladrillo,Malo,20,77
04,Ladrillo,Malo,25,81
04,Ladrillo,Malo,30,83
04,Liviano/Adobe,Muy Bueno,5,9
04,Liviano/Adobe,Muy Bueno,10,14
04,Liviano/Adobe,Muy Bueno,15,19
04,Liviano/Adobe,Muy Bueno,20,24
04,Liviano/Adobe,Muy Bueno,25,29
04,Liviano/Adobe,Muy Bueno,30,34
04,Liviano/Adobe,Muy Bueno,35,39
04,Liviano/Adobe,Muy Bueno,40,44
04,Liviano/Adobe,Muy Bueno,45,49
04,Liviano/Adobe,Muy Bueno,50,54
04,Liviano/Adobe,Muy Bueno,,60
04,Liviano/Adobe,Bueno,5,21
04,Liviano/Adobe,Bueno,10,26
04,Liviano/Adobe,Bueno,15,30
04,Liviano/Adobe,Bueno,20,35
04,Liviano/Adobe,Bueno,25,40
04,Liviano/Adobe,Bueno,30,45
04,Liviano/Adobe,Bueno,35,50
04,Liviano/Adobe,Bueno,40,54
04,Liviano/Adobe,Bueno,45,59
04,Liviano/Adobe,Bueno,50,64
04,Liviano/Adobe,Bueno,,70
04,Liviano/Adobe,Regular,5,34
04,Liviano/Adobe,Regular,10,39
04,Liviano/Adobe,Regular,15,44
04,Liviano/Adobe,Regular,20,49
04,Liviano/Adobe,Regular,25,52
04,Liviano/Adobe,Regular,30,59
04,Liviano/Adobe,Regular,35,64
04,Liviano/Adobe,Regular,40,69
04,Liviano/Adobe,Regular,45,74
04,Liviano/Adobe,Regular,50,79
04,Liviano/Adobe,Regular,,84
04,Liviano/Adobe,Malo,5,69
04,Liviano/Adobe,Malo,10,74
04,Liviano/Adobe,Malo,15,79
04,Liviano/Adobe,Malo,20,84
04,Liviano/Adobe,Malo,25,89
